Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,11041.459961,11773.110352,10982.799805,11630.509766,11630.509766,31049050000
2023-03-20,11614.389648,12013.990234,11550.690430,11823.959961,11823.959961,24063200000
2023-03-27,11868.540039,12227.929688,11635.030273,12221.910156,12221.910156,23120800000
2023-04-03,12146.089844,12224.679688,11898.360352,12087.959961,12087.959961,17356590000
2023-04-10,11975.129883,12205.719727,11916.540039,12123.469727,12123.469727,23519530000
2023-04-17,12108.230469,12245.429688,11986.820313,12072.459961,12072.459961,24106270000
2023-04-24,12053.469727,12227.719727,11798.769531,12226.580078,12226.580078,25527130000
2023-05-01,12210.049805,12264.830078,11925.370117,12235.410156,12235.410156,25772570000
2023-05-08,12231.679688,12364.650391,12174.059570,12284.740234,12284.740234,21950890000
2023-05-15,12301.169922,12731.730469,12263.349609,12657.900391,12657.900391,21017290000
2023-05-22,12664.440430,13001.910156,12415.849609,12975.690430,12975.690430,21800340000
2023-05-29,13109.099609,13256.209961,12889.370117,13240.769531,13240.769531,19786300000
2023-06-05,13238.480469,13385.950195,13089.480469,13259.139648,13259.139648,23118660000
2023-06-12,13326.370117,13864.059570,13302.580078,13689.570313,13689.570313,29761380000
2023-06-19,13642.290039,13711.179688,13441.559570,13492.519531,13492.519531,22666400000
2023-06-26,13468.740234,13816.679688,13334.419922,13787.919922,13787.919922,23066790000
2023-07-03,13798.700195,13844.500000,13567.250000,13660.719727,13660.719727,19452840000
2023-07-10,13645.370117,14232.110352,13584.870117,14113.700195,14113.700195,25897410000
2023-07-17,14149.919922,14446.549805,14020.450195,14032.809570,14032.809570,24911850000
2023-07-24,14081.629883,14360.200195,13997.129883,14316.660156,14316.660156,21786900000
2023-07-31,14337.900391,14370.910156,13881.349609,13909.240234,13909.240234,26436590000
2023-08-07,13972.450195,13997.150391,13609.980469,13644.849609,13644.849609,25706200000
2023-08-14,13599.000000,13789.160156,13161.759766,13290.780273,13290.780273,25071190000
2023-08-21,13347.259766,13834.690430,13325.589844,13590.650391,13590.650391,21127230000
2023-08-28,13695.360352,14149.620117,13626.639648,14031.809570,14031.809570,21382030000
2023-09-04,13994.540039,14060.849609,13642.469727,13761.530273,13761.530273,17076300000
2023-09-11,13884.030273,13937.469727,13733.820313,13813.589844,13813.589844,13974670000
